m,tau,pushforward,theiler_w,E_raw,E_log,delta_E,delta_E_pct
6,4,1,20,1.473973773564282,0.591489797636739,0.8824839759275429,59.87107720333238
6,10,1,50,1.7826605325008658,0.7218250346650981,1.0608354978357677,59.508553563338204
5,10,1,40,1.4497230052078447,0.6040794459709011,0.8456435592369436,58.33138856175527
5,4,1,16,1.2519036253639797,0.532420969775421,0.7194826555885587,57.47108970783398
6,8,1,40,1.6794309255521758,0.7148325037229385,0.9645984218292373,57.43602830893979
5,8,1,32,1.4885084063700182,0.643900327155562,0.8446080792144562,56.74190858445853
4,8,1,24,1.2614094585264293,0.5579825275463862,0.703426930980043,55.76515430618239
4,10,1,30,1.1604245184640982,0.5167248154578821,0.6436997030062162,55.47105328817053
4,4,1,12,1.043397853494527,0.46676038763516714,0.5766374658593598,55.26534906393542
6,2,1,10,1.0242949433492294,0.5320473716228552,0.49224757172637423,48.05720997868329
4,2,1,6,0.7324846606120365,0.38266254214034046,0.3498221184716961,47.75828591132515
5,2,1,8,0.8784104505659779,0.46198340890744066,0.4164270416585372,47.40688608499873
4,1,1,3,0.5686551641099067,0.29999687987116397,0.2686582842387427,47.244499161326154
5,1,1,4,0.672708301079676,0.3569234237560777,0.31578487732359833,46.942319102763165
6,1,1,5,0.7786578130746443,0.4179053661859614,0.3607524468886829,46.33003622787769
6,8,6,40,2.824795983100254,0.9211817887527679,1.9036141943474862,67.38944000685821
5,8,6,32,2.580332466610525,0.8523910032033314,1.727941463407194,66.96584590422893
6,10,6,50,2.548198426802148,0.8476269306331617,1.7005714961689864,66.73622737861557
5,10,6,40,2.1655284534130064,0.7341662237476256,1.4313622296653807,66.09759513477948
4,10,6,30,1.9812596621714533,0.6785849708729392,1.302674691298514,65.74982149844949
4,8,6,24,2.231967115863447,0.7697009019249234,1.4622662139385234,65.51468449268971
6,4,6,20,1.9246444774341689,0.6646424448399532,1.2600020325942158,65.46674190310627
5,4,6,16,1.6793300009460215,0.6117352727015911,1.0675947282444302,63.572658598549374
4,4,6,12,1.4945374301831527,0.5547192014564195,0.9398182287267332,62.883552445492136
6,2,6,10,1.5975658082330688,0.6443397654743747,0.9532260427586942,59.66740386194019
5,2,6,8,1.475765908780688,0.6076381047641843,0.8681278040165037,58.82557652614235
4,2,6,6,1.4015824615569878,0.5933739177611171,0.8082085437958707,57.664002366157554
5,1,6,6,1.8052347957108899,0.8114494968150352,0.9937852988958547,55.050196310032256
6,1,6,6,1.8216531318740627,0.8190594221848324,1.0025937096892303,55.03757505457648
4,1,6,6,1.6979841422928859,0.7757869285721953,0.9221972137206905,54.31129718769896
6,10,12,50,2.600044488787716,0.8151729344556692,1.7848715543320468,68.64773129956143
6,8,12,40,2.909905114591333,0.9305497042823633,1.9793554103089699,68.02130421310835
5,10,12,40,2.1631984405816507,0.6970826564165608,1.46611578416509,67.77537172090759
5,8,12,32,2.63523956718921,0.8742360134617404,1.7610035537274698,66.82517884344705
5,2,12,12,2.1071388142564325,0.7101269472354953,1.3970118670209373,66.2989954704961
4,4,12,12,1.6518507938750457,0.561847034304547,1.0900037595704988,65.98681694570486
6,2,12,12,2.243528571291915,0.7636838422629124,1.4798447290290027,65.96059207647389
4,8,12,24,2.333309719732737,0.7995277315496377,1.5337819881830992,65.73417901669661
4,10,12,30,1.7949241753968128,0.6333115397138419,1.161612635682971,64.71652962310608
4,2,12,12,1.8460572225244183,0.6704652133849219,1.1755920091394962,63.681233430668826
5,4,12,16,1.6266699794143196,0.6025550427240194,1.0241149366903002,62.95775723721363
6,4,12,20,1.701525543857721,0.6472449074806841,1.054280636377037,61.96090562277179
6,1,12,12,2.1716378697566587,0.8678180571403208,1.303819812616338,60.03854651707822
5,1,12,12,1.934968788188203,0.8353977387721756,1.0995710494160273,56.82629384661054
4,1,12,12,1.72173128140169,0.785520344180221,0.9362109372214691,54.376135656853734
6,4,24,24,2.4442888921849213,0.8045148511470022,1.6397740410379191,67.08593432964236
5,4,24,24,2.213732473492877,0.7357621775501143,1.4779702959427627,66.76372658575079
4,4,24,24,1.9679434873135138,0.6651775746664246,1.3027659126470892,66.19935587812665
5,2,24,24,2.2188174567459873,0.7553524030742484,1.4634650536717388,65.95698304167786
6,2,24,24,2.452811598022439,0.8389816352838877,1.6138299627385515,65.79510485190505
6,10,24,50,2.5240866736425547,0.8840805386463577,1.640006134996197,64.97424007351835
4,2,24,24,1.8768718900678205,0.6736234380324733,1.2032484520353472,64.10924786091117
5,10,24,40,2.098692117863665,0.7695285967760281,1.3291635210876367,63.332944826639974
4,8,24,24,1.6979742341614081,0.6302721604516984,1.0677020737097096,62.88093495346966
6,8,24,40,1.9319727249700391,0.7246230178667065,1.2073497071033326,62.493103111590564
5,8,24,32,1.8131928826190478,0.6814240761273801,1.1317688064916678,62.4185555403734
4,10,24,30,1.833910722554826,0.6986358267823813,1.1352748957724446,61.90458901897308
6,1,24,24,2.088475552892514,0.8190743364306841,1.2694012164618298,60.78123417359251
5,1,24,24,1.807275109375644,0.7541988155396434,1.0530762938360008,58.268732213094275
4,1,24,24,1.5266230052301915,0.6740693120745697,0.8525536931556218,55.84572551538811
6,4,36,36,2.6640455220833257,0.8688860680056151,1.7951594540777105,67.38471393213534
6,10,36,50,2.8090058698675024,0.9407364315177182,1.8682694383497842,66.50998698119162
5,4,36,36,2.3660613151288983,0.800290535790202,1.5657707793386964,66.17625542190974
6,8,36,40,2.885489486991713,0.9909876356896964,1.8945018513020164,65.65616890453974
5,10,36,40,2.3851459318251824,0.8213101998369712,1.5638357319882112,65.56562058202951
4,4,36,36,2.068469684545065,0.7228704695599962,1.3455992149850688,65.05288547562239
5,8,36,36,2.5658727009450133,0.9161974733006869,1.6496752276443263,64.29294902419552
4,8,36,36,2.2443271754377148,0.8249100989561621,1.4194170764815528,63.244659335585574
4,10,36,36,1.9558407233903723,0.7351971558946891,1.2206435674956833,62.410172408096
6,2,36,36,2.405211114764995,0.9217845044119145,1.4834266103530802,61.67552616261799
5,2,36,36,2.1186997590687278,0.8343599965275149,1.284339762541213,60.619243337514845
4,2,36,36,1.7953570573639879,0.7525979658635203,1.0427590915004674,58.08087517875059
6,1,36,36,2.0384918049272502,0.9294502892250509,1.1090415157021993,54.405002415095744
5,1,36,36,1.794205288968834,0.8546698342259806,0.9395354547428534,52.36499192814348
4,1,36,36,1.55839967937605,0.7758474699762102,0.7825522093998397,50.215116170529306
